City,cost_one_person_usd,rent_one_person_usd,monthly_salary_after_tax_usd,income_after_rent_usd,months_covered,cost_one_person_inr,rent_one_person_inr,monthly_salary_after_tax_inr,income_after_rent_inr,usd_to_inr_rate_used,source_url
 Patna,320,103,313,210,1,28116.42,9049.97,27501.37,18451.4,87.8638,https://livingcost.org/cost/india/br/patna
 Purnia,284,85.9,289,203.1,1,24953.32,7547.5,25392.64,17845.14,87.8638,https://livingcost.org/cost/india/br/purnia
 Saharsa,350,85.6,306,220.4,1.1,30752.33,7521.14,26886.32,19365.18,87.8638,https://livingcost.org/cost/india/br/saharsa
 Bhilai,320,85.3,361,275.7,1.2,28116.42,7494.78,31718.83,24224.05,87.8638,https://livingcost.org/cost/india/ct/bhilai
 Bilaspur,301,138,357,219,1,26447,12125.2,31367.38,19242.17,87.8638,https://livingcost.org/cost/india/ct/bilaspur
 Durg,361,131,355,224,1,31718.83,11510.16,31191.65,19681.49,87.8638,https://livingcost.org/cost/india/ct/durg
 Raipur,445,164,340,176,0.8,39099.39,14409.66,29873.69,15464.03,87.8638,https://livingcost.org/cost/india/ct/raipur
 Margao,349,187,205,18,0.5,30664.47,16430.53,18012.08,1581.55,87.8638,https://livingcost.org/cost/india/ga/margao
 Mormugao,476,233,203,-30,0.4,41823.17,20472.27,17836.35,-2635.91,87.8638,https://livingcost.org/cost/india/ga/mormugao
 Panjim,368,160,203,43,0.5,32333.88,14058.21,17836.35,3778.14,87.8638,https://livingcost.org/cost/india/ga/panjim
 Ahmedabad,442,159,310,151,0.7,38835.8,13970.34,27237.78,13267.43,87.8638,https://livingcost.org/cost/india/gj/ahmedabad
 Bhavnagar,382,93.9,274,180.1,0.9,33563.97,8250.41,24074.68,15824.27,87.8638,https://livingcost.org/cost/india/gj/bhavnagar
 Bhuj,382,81,272,191,0.9,33563.97,7116.97,23898.95,16781.99,87.8638,https://livingcost.org/cost/india/gj/bhuj
 Gandhinagar,382,175,421,246,1,33563.97,15376.16,36990.66,21614.49,87.8638,https://livingcost.org/cost/india/gj/gandhinagar
 Godhra,366,147,365,218,1,32158.15,12915.98,32070.29,19154.31,87.8638,https://livingcost.org/cost/india/gj/godhra
 Mehsana,382,155,277,122,0.7,33563.97,13618.89,24338.27,10719.38,87.8638,https://livingcost.org/cost/india/gj/mehsana
 Nadiad,382,148,396,248,1.1,33563.97,13003.84,34794.06,21790.22,87.8638,https://livingcost.org/cost/india/gj/nadiad
 Navsari,278,72.7,280,207.3,1,24426.14,6387.7,24601.86,18214.17,87.8638,https://livingcost.org/cost/india/gj/navsari
 Porbandar,330,125,271,146,0.8,28995.05,10982.98,23811.09,12828.11,87.8638,https://livingcost.org/cost/india/gj/porbandar
 Rajkot,324,104,216,112,0.7,28467.87,9137.84,18978.58,9840.75,87.8638,https://livingcost.org/cost/india/gj/rajkot
 Surat,322,458,271,-187,0.4,28292.14,40241.62,23811.09,-16430.53,87.8638,https://livingcost.org/cost/india/gj/surat
 Vadodara,374,129,349,220,0.9,32861.06,11334.43,30664.47,19330.04,87.8638,https://livingcost.org/cost/india/gj/vadodara
 Shimla,427,75.8,392,316.2,1.5,37517.84,6660.08,34442.61,27782.53,87.8638,https://livingcost.org/cost/india/hp/shimla
 Bhiwani,330,109,558,449,1.7,28995.05,9577.15,49028,39450.85,87.8638,https://livingcost.org/cost/india/hr/bhiwani
 Delhi,489,190,231,41,0.5,42965.4,16694.12,20296.54,3602.42,87.8638,https://livingcost.org/cost/india/hr/delhi
 Faridabad,383,134,547,413,1.4,33651.84,11773.75,48061.5,36287.75,87.8638,https://livingcost.org/cost/india/hr/faridabad
 Gurgaon,514,215,463,248,0.9,45161.99,18890.72,40680.94,21790.22,87.8638,https://livingcost.org/cost/india/hr/gurgaon
 Hisar,262,88.3,554,465.7,2.1,23020.32,7758.37,48676.55,40918.17,87.8638,https://livingcost.org/cost/india/hr/hisar
 Rohtak,427,65.3,442,376.7,1.8,37517.84,5737.51,38835.8,33098.29,87.8638,https://livingcost.org/cost/india/hr/rohtak
 Sonipat,270,69,507,438,1.9,23723.23,6062.6,44546.95,38484.34,87.8638,https://livingcost.org/cost/india/hr/sonipat
 Chakradharpur,320,108,371,263,1.2,28116.42,9489.29,32597.47,23108.18,87.8638,https://livingcost.org/cost/india/jh/chakradharpur
 Dhanbad,289,75.9,356,280.1,1.2,25392.64,6668.86,31279.51,24610.65,87.8638,https://livingcost.org/cost/india/jh/dhanbad
 Jamshedpur,348,102,199,97,0.6,30576.6,8962.11,17484.9,8522.79,87.8638,https://livingcost.org/cost/india/jh/jamshedpur
 Ranchi,332,121,401,280,1.1,29170.78,10631.52,35233.38,24601.86,87.8638,https://livingcost.org/cost/india/jh/ranchi
 Baramulla,443,67.5,409,341.5,1.5,38923.66,5930.81,35936.29,30005.49,87.8638,https://livingcost.org/cost/india/jk/baramulla
 Jammu,284,91.9,408,316.1,1.4,24953.32,8074.68,35848.43,27773.75,87.8638,https://livingcost.org/cost/india/jk/jammu
 Srinagar,340,99.9,211,111.1,0.6,29873.69,8777.59,18539.26,9761.67,87.8638,https://livingcost.org/cost/india/jk/srinagar
 Bangalore,463,221,311,90,0.6,40680.94,19417.9,27325.64,7907.74,87.8638,https://livingcost.org/cost/india/ka/bangalore
 Belgaum,463,250,241,-9,0.5,40680.94,21965.95,21175.18,-790.77,87.8638,https://livingcost.org/cost/india/ka/belgaum
 Bijapur,333,125,179,54,0.5,29258.65,10982.98,15727.62,4744.65,87.8638,https://livingcost.org/cost/india/ka/bijapur
 Davanagere,295,121,330,209,1.1,25919.82,10631.52,28995.05,18363.53,87.8638,https://livingcost.org/cost/india/ka/davanagere
 Gulbarga,303,70.5,280,209.5,1.1,26622.73,6194.4,24601.86,18407.47,87.8638,https://livingcost.org/cost/india/ka/gulbarga
 Hospet,328,80.1,180,99.9,0.7,28819.33,7037.89,15815.48,8777.59,87.8638,https://livingcost.org/cost/india/ka/hospet
 Hubli,355,127,389,262,1.1,31191.65,11158.7,34179.02,23020.32,87.8638,https://livingcost.org/cost/india/ka/hubli
 Mangalore,344,161,215,54,0.5,30225.15,14146.07,18890.72,4744.65,87.8638,https://livingcost.org/cost/india/ka/mangalore
 Mysore,296,111,531,420,1.5,26007.68,9752.88,46655.68,36902.8,87.8638,https://livingcost.org/cost/india/ka/mysore
 Shimoga,535,114,203,89,0.6,47007.13,10016.47,17836.35,7819.88,87.8638,https://livingcost.org/cost/india/ka/shimoga
 Tumkur,333,159,197,38,0.6,29258.65,13970.34,17309.17,3338.82,87.8638,https://livingcost.org/cost/india/ka/tumkur
 Udupi,285,93.4,244,150.6,0.9,25041.18,8206.48,21438.77,13232.29,87.8638,https://livingcost.org/cost/india/ka/udupi
 Ernakulam,646,127,237,110,0.7,56760.01,11158.7,20823.72,9665.02,87.8638,https://livingcost.org/cost/india/kl/ernakulam
 Kannur,317,108,255,147,0.8,27852.82,9489.29,22405.27,12915.98,87.8638,https://livingcost.org/cost/india/kl/kannur
" Kochi, Kerala",646,134,337,203,0.9,56760.01,11773.75,29610.1,17836.35,87.8638,https://livingcost.org/cost/india/kl/kochi
 Kollam,253,72.7,262,189.3,1,22229.54,6387.7,23020.32,16632.62,87.8638,https://livingcost.org/cost/india/kl/kollam
 Kottayam,646,87.2,389,301.8,1.3,56760.01,7661.72,34179.02,26517.29,87.8638,https://livingcost.org/cost/india/kl/kottayam
 Kozhikode,437,96,245,149,0.8,38396.48,8434.92,21526.63,13091.71,87.8638,https://livingcost.org/cost/india/kl/kozhikode
 Malappuram,463,94.6,231,136.4,0.8,40680.94,8311.92,20296.54,11984.62,87.8638,https://livingcost.org/cost/india/kl/malappuram
 Thiruvananthapuram,646,127,227,100,0.7,56760.01,11158.7,19945.08,8786.38,87.8638,https://livingcost.org/cost/india/kl/thiruvananthapuram
 Thrissur,646,132,325,193,0.9,56760.01,11598.02,28555.74,16957.71,87.8638,https://livingcost.org/cost/india/kl/thrissur
 Varkala,308,94.4,253,158.6,0.8,27062.05,8294.34,22229.54,13935.2,87.8638,https://livingcost.org/cost/india/kl/varkala
 Akola,297,99.8,366,266.2,1.2,26095.55,8768.81,32158.15,23389.34,87.8638,https://livingcost.org/cost/india/mh/akola
